"lag_seconds","rows_"
"70782.280","7"
"130883.370","7"
"69111.260","7"
"71552.260","7"
"140823.260","7"
"259198.930","7"
"319647.930","7"
"131695.260","7"
"152884.920","7"
"86666.920","7"
"154795.920","7"
"137130.370","7"
"80325.280","7"
"325494.930","7"
"138963.260","7"
"152405.370","7"
"158573.660","7"
"157251.660","7"
"69917.260","7"
"72321.370","7"
"86241.920","7"
"134195.920","7"
"327111.930","7"
"137351.260","7"
"166727.660","7"
"143397.260","7"
"85585.260","7"
"141563.370","7"
"98690.920","7"
"87058.370","7"
"75202.280","7"
"312908.930","7"
"144913.260","7"
"243040.930","7"
"232705.660","7"
"322354.930","6"
"131009.260","6"
"81407.920","6"
"151354.260","6"
"78465.280","6"
"88403.260","6"
"298549.930","6"
"317738.930","6"
"135431.920","6"
"146082.920","6"
"267164.930","6"
"243097.930","6"
"315392.930","6"
"241175.660","6"
"150124.920","6"
"153854.920","6"
"80362.260","6"
"144702.920","6"
"224197.660","6"
"150536.260","6"
"240988.660","6"
"87095.280","6"
"247790.930","6"
"147498.260","6"
"74566.370","6"
"238362.660","6"
"221917.660","6"
"264795.930","6"
"325569.930","6"
"83734.920","6"
"154077.370","6"
"97382.260","6"
"75642.260","6"
"151536.920","6"
"78825.280","6"
"152713.260","6"
"75853.920","6"
"146401.260","6"
"241946.930","6"
"318631.930","6"
"135136.920","6"
"94729.260","6"
"152313.370","6"
"140031.260","6"
"326017.930","6"
"144021.920","6"
"143646.920","6"
"234668.660","6"
"145500.920","6"
"142363.260","6"
"235759.660","6"
"228816.660","6"
"304725.930","6"
"81772.920","6"
"71123.280","6"
"143958.260","6"
"76586.280","6"
"78271.280","6"
"230444.660","6"
"253186.930","6"
"176621.660","6"
"87611.370","6"
"77130.920","6"
"308993.930","6"
"73908.920","6"
"182904.660","6"
"325363.930","6"
"139932.260","6"
"260317.930","6"
"130851.920","6"
"141137.920","6"
"147112.260","6"
"77777.260","6"
"317274.930","6"
"263602.930","6"
"144348.260","6"
"75431.920","6"
"241172.660","6"
"153841.260","6"
"79916.260","6"
"242705.930","6"
"140824.920","6"
"142083.260","6"
"326371.930","6"
"73494.260","6"
"296303.930","6"
"135965.260","6"
"167588.660","6"
"75847.370","6"
"245984.930","6"
"78709.280","6"
"86947.370","6"
"88078.280","6"
"233744.660","6"
"134472.920","6"
"97958.260","6"
"76878.370","6"
"154847.260","6"
"92780.280","6"
"141129.920","6"
"84067.920","6"
"149425.920","6"
"79401.370","6"
"152658.920","6"
"81567.920","6"
"84849.260","6"
"299949.930","6"
"245237.930","6"
"170460.660","6"
"177095.660","6"
"163192.660","6"
"150465.920","6"
"148682.370","6"
"85536.920","6"
"316742.930","6"
"138522.920","6"
"144930.920","6"
"167932.660","6"
"151052.920","6"
"149921.920","6"
"149964.920","6"
"163966.660","6"
"152508.260","6"
"153015.920","6"
"146465.920","6"
"84451.260","6"
"71293.280","6"
"70277.260","6"
"235181.660","6"
"144928.260","6"
"148847.260","6"
"73367.280","6"
"228611.660","6"
"81926.280","6"
"223754.660","6"
"90282.260","6"
"136199.920","6"
"71400.920","6"
"90256.280","6"
"237046.660","6"
"80191.370","6"
"77272.280","6"
"73862.280","6"
"141239.920","6"
"146452.920","6"
"122045.260","6"
"89784.370","6"
"307151.930","6"
"83452.280","6"
"83441.920","6"
"223959.660","6"
"69696.370","6"
"74051.920","6"
"176248.660","6"
"234996.660","6"
"315566.930","6"
"127472.260","6"
"79296.920","6"
"134899.920","6"
"73053.370","6"
"87670.280","6"
"254374.930","6"
"122125.920","6"
"84042.370","6"
"74342.370","6"
"159972.660","6"
"140365.260","6"
"145332.260","6"
"131633.370","6"
"320733.930","6"
"153331.370","6"
"141415.920","6"
"78753.260","6"
"84291.370","6"
"81174.260","6"
"85648.260","6"
"139975.920","6"
"252632.930","6"
"144783.920","6"
"83838.280","6"
"160762.660","6"
"90064.280","6"
"84861.920","6"
"298668.930","6"
"243917.930","6"
"164349.660","6"
"74768.260","6"
"82365.920","6"
"130121.260","6"
"140166.920","6"
"157901.660","6"
"316949.930","6"
"90789.920","6"
"78154.920","6"
"145478.260","6"
"144723.370","6"
"73962.280","6"
"156706.660","6"
"87858.260","6"
"230849.660","6"
"138024.260","6"
"89394.260","6"
"98469.280","6"
"134490.920","6"
"289161.930","6"
"136513.260","6"
"144974.920","6"
"248674.930","6"
"129295.260","6"
"262158.930","6"
"76091.280","6"
"152561.260","6"
"81103.370","6"
"167427.660","6"
"256651.930","6"
"227202.660","6"
"89182.370","6"
"140368.920","6"
"78548.370","6"
"239596.660","6"
"147839.920","6"
"76067.920","6"
"249343.930","6"
"91862.370","6"
"79914.260","6"
"151322.370","6"
"166888.660","6"
"146768.920","6"
"82745.920","6"
"71678.370","6"
"90669.280","6"
"85683.280","6"
"143875.370","6"
"86738.370","6"
"158580.660","6"
"69817.260","6"
"154680.370","6"
"160926.660","6"
"304510.930","6"
"223492.660","6"
"70112.370","6"
"73797.370","6"
"247183.930","6"
"171941.660","6"
"74129.260","6"
"236051.660","6"
"70046.260","6"
"240989.660","6"
"249180.930","6"
"146255.920","6"
"249566.930","6"
"126120.260","6"
"81559.370","6"
"74002.370","6"
"75749.260","6"
"223015.660","6"
"315406.930","6"
"74549.260","6"
"77511.280","6"
"128029.260","6"
"321200.930","6"
"80424.370","6"
"72260.920","6"
"150506.260","6"
"78326.260","6"
"239918.660","6"
"79869.920","6"
"74273.260","6"
"223730.660","6"
"292390.930","6"
"263965.930","6"
"71742.260","6"
"171652.660","6"
"84900.370","6"
"138559.920","6"
"91806.920","6"
"89129.260","6"
"82626.920","6"
"151094.920","6"
